trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.9, 'e': 0.48399999999999954}",30,0,-34.30501258288615,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.9, 'e': 0.48099999999999954}",20,10,-52.68076446225456,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.9, 'e': 0.47799999999999954}",25,0,-67.3361893998052,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
175,False,"{'a': 0.9, 'e': 0.47499999999999953}",20,9,13.177346378130656,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9, 'e': 0.47199999999999953}",20,0,-98.1614485228211,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
177,False,"{'a': 0.9, 'e': 0.46899999999999953}",20,13,0.39881460552372694,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.4659999999999995}",20,0,-95.99634286560637,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.9, 'e': 0.4629999999999995}",25,0,-24.850363894505072,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
180,False,"{'a': 0.9, 'e': 0.4599999999999995}",20,0,-36.52163839029805,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
181,False,"{'a': 0.9, 'e': 0.4569999999999995}",20,0,-32.314252264898656,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
182,False,"{'a': 0.9, 'e': 0.4539999999999995}",20,8,-73.77007242408001,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
